id	cluster_name	infomap	central_concept	concepticon_id	concepticon_gloss	family_frequency	language_frequency	word_frequency
29	infomap_1_GIVE	1	GIVE	2288	METEROID (SHOOTING OR SHINING STAR)	1	5	5
30	infomap_7_SPEAK	7	SPEAK	2903	CHAT (WITH SOMEBODY)	21	116	137
31	infomap_35_IMMEDIATELY	35	IMMEDIATELY	3312	SHORT (TIME)	5	13	14
32	infomap_137_SAME-SEX YOUNGER SIBLING	137	SAME-SEX YOUNGER SIBLING	3036	TREETOP	1	84	91
33	infomap_58_MOUNTAIN	58	MOUNTAIN	857	STONE	142	2178	2858
34	infomap_125_WAVE	125	WAVE	978	WAVE	72	589	727
35	infomap_3_THAT	3	THAT	1937	THERE	65	1039	1367
36	infomap_2_SEED	2	SEED	438	CHIGGOE (JIGGER FLEA)	16	56	62
37	infomap_1_GIVE	1	GIVE	346	BANYAN	14	236	251
38	infomap_16_RIVER	16	RIVER	2282	SEA OR OCEAN	2	74	74
39	infomap_1_GIVE	1	GIVE	578	KISS	72	610	719
40	infomap_96_NETBAG	96	NETBAG	1851	POCKET	52	337	384
41	infomap_27_FUR	27	FUR	1201	FEATHER	139	1596	1852
42	infomap_1_GIVE	1	GIVE	1470	FOLD	68	492	680
43	infomap_1_GIVE	1	GIVE	855	SEIZE	76	729	1054
44	infomap_15_LOW	15	LOW	1241	SOME	65	476	646
45	infomap_79_BIRD	79	BIRD	1597	AIRPLANE	24	87	102
46	infomap_20_DARK	20	DARK	1552	GLOOMY	1	16	16
47	infomap_141_DYE	141	DYE	647	PAINT (PIGMENTS)	64	432	524
48	infomap_21_WORM	21	WORM	2350	EARTHWORM	7	246	261
49	infomap_70_NOTHING	70	NOTHING	687	NOTHING	21	57	66
50	infomap_9_GOOD	9	GOOD	1702	HOLY	45	305	421
51	infomap_44_FOOD	44	FOOD	256	FOOD	82	594	786
52	infomap_1_GIVE	1	GIVE	719	FIND	82	553	684
53	infomap_32_HAND	32	HAND	2666	SOLE (FOOT)	10	92	100
54	infomap_30_KNIFE	30	KNIFE	3067	CLEAVER	1	49	49
55	infomap_49_CRAB	49	CRAB	2447	WOODPECKER	4	35	35
56	infomap_1_GIVE	1	GIVE	190	MOW	53	352	518
57	infomap_80_OTHER	80	OTHER	2576	ALREADY	20	137	159
58	infomap_111_MILK	111	MILK	1402	BREAST	166	2324	2824
59	infomap_2_SEED	2	SEED	1507	FRUIT	94	1583	1822
60	infomap_62_FIFTY	62	FIFTY	1724	NINETY	23	311	317
61	infomap_5_TREE	5	TREE	221	FIRE	196	2644	3090
62	infomap_25_BLAME	25	BLAME	1390	WRONG	52	462	571
63	infomap_33_FROST	33	FROST	243	FRESH	18	100	118
64	infomap_107_EAR	107	EAR	1916	GILL	44	245	265
65	infomap_1_GIVE	1	GIVE	609	HAIL	2	99	99
66	infomap_71_BAD	71	BAD	1548	UGLY	63	461	582
67	infomap_18_END (OF SPACE)	18	END (OF SPACE)	113	SHORE	78	683	913
68	infomap_100_LIGHTNING	100	LIGHTNING	2377	FLASH (VERB)	1	27	29
69	infomap_8_MIND	8	MIND	53	SPIRIT	27	334	707
70	infomap_73_OIL (ORGANIC SUBSTANCE)	73	OIL (ORGANIC SUBSTANCE)	1835	MARROW	8	112	113
71	infomap_31_HOUSE	31	HOUSE	14	YOKE	33	432	515
72	infomap_148_THEN	148	THEN	2336	OF THIS KIND (SUCH)	20	102	143
73	infomap_85_HOT	85	HOT	612	HEAT	22	173	200
74	infomap_26_PERSON	26	PERSON	683	PERSON	138	1801	2166
75	infomap_4_EARTH (SOIL)	4	EARTH (SOIL)	223	THRESHING-FLOOR	30	236	271
76	infomap_29_BAT	29	BAT	3010	WAGTAIL	1	102	106
77	infomap_41_TWO	41	TWO	1384	SECOND	56	465	538
78	infomap_1_GIVE	1	GIVE	1786	DRY UP	26	357	517
79	infomap_11_CLOTH	11	CLOTH	806	BLANKET	81	489	642
